Number_of_Bulges,Number_of_Loops,Number_of_Junctions,Number_of_Helices,Number_of_Bonds,Abstract shape Lev5,Shape counts,Total Shapes,Shannons Entropy H,2^H
0,2,0,7,30,"['[][][][]' '[]' '[[][]]' '[][][]' '[][]' '[][]' '[][][]' '[][]'
 '[][[][]]' '[][]' '[][]' '[[][]]' '[[][]]' '[]' '[[][]]' '[][]'
 '[[][][]]' '[][]' '[[][][]]' '[]' '[][]' '[][][]' '[[][]]' '[[][][]]'
 '[]' '[][][]' '[][]' '[]' '[[][][][]]' '[]' '[][]' '[][][][]' '[[][]][]'
 '[[][]]' '[[][]][]' '[[][]]' '[][[][][]]' '[][]' '[[][]]' '[]' '[][][]'
 '[[][]]' '[[][][]]' '[][][]' '[[][]]' '[[][][]]' '[][][]' '[][]' '[][]'
 '[]' '[][]' '[][]' '[[][]][]' '[][]' '[][]' '[[][]][]' '[[][][]]'
 '[][][]' '[]' '[[][]][]']"," '[][]': 17, '[[][]]': 10, '[]': 9, '[][][]': 8, '[[][][]]': 6, '[[][]][]': 5, '[][][][]': 2, '[][[][]]': 1, '[[][][][]]': 1, '[][[][][]]': 1 ",60,2.8343091,7.132011849
2,3,0,8,30,"['[][]' '[][]' '[[][]]' '[][][]' '[][]' '[[][][]]' '[[][]]' '[][][]'
 '[[][]]' '[[][]]' '[[][]]' '[]' '[][]' '[][]' '[][[][]]' '[][]'
 '[[][][]]' '[[][]]' '[[][][]][]' '[][]' '[][]' '[[][]][]' '[][][]'
 '[[][]]' '[][][][]' '[][][]' '[[][][]]' '[[][]][]' '[[][]]' '[[][][]]'
 '[[][]]' '[]' '[][][[][]]' '[][]' '[[][][]]' '[][][]' '[][]' '[][]'
 '[][][][]' '[][]' '[][]' '[][][]' '[[][]]' '[[][][]]' '[][][]' '[]'
 '[][]' '[[][]]' '[[][]]' '[]' '[][]' '[][][]' '[[][]][]' '[][]'
 '[[][]][]' '[[][]]' '[][][][]' '[]' '[]' '[][]']"," '[][]': 17, '[[][]]': 13, '[][][]': 8, '[[][][]]': 6, '[]': 6, '[[][]][]': 4, '[][][][]': 3, '[][[][]]': 1, '[[][][]][]': 1, '[][][[][]]': 1 ",60,2.817440226,7.049105641
1,3,0,6,23,"['[[][]]' '[][]' '[][][]' '[][]' '[[][]][]' '[][]' '[][]' '[][]'
 '[][][][]' '[][[][]]' '[][]' '[][][]' '[]' '[[][]]' '[][]' '[][][][]'
 '[[][][]]' '[[][]]' '[][[][]]' '[][][]' '[][]' '[][]' '[][]' '[][][]'
 '[][][]' '[][]' '[][]' '[[][]]' '[][]' '[][][]' '[][]' '[][]' '[][][]'
 '[[][]][]' '[][][]' '[][]' '[][]' '[][]' '[][]' '[][]' '[[][]]' '[][]'
 '[][]' '[[][]]' '[]' '[][][]' '[[][]][]' '[]' '[][][]' '[][][][]'
 '[[][]]' '[]' '[]' '[][]' '[][][]' '[][]' '[[][]]' '[][][]' '[][]']"," '[][]': 25, '[][][]': 12, '[[][]]': 8, '[]': 5, '[[][]][]': 3, '[][][][]': 3, '[][[][]]': 2, '[[][][]]': 1 ",59,2.3871283,5.231150583
1,3,1,7,26,"['[][]' '[]' '[][]' '[][][][]' '[[][]]' '[[][][]]' '[[][]]' '[][]'
 '[[][][]]' '[][][]' '[][]' '[]' '[[][]]' '[][[][]]' '[][]' '[]' '[]'
 '[[][][]]' '[]' '[[][]]' '[]' '[]' '[][][][]' '[][][]' '[][][]'
 '[][][][]' '[][]' '[[][]]' '[[][]]' '[[][]][][]' '[][][]' '[[][][][]]'
 '[[][][]]' '[][][]' '[][][]' '[[][]]' '[[][]][]' '[]' '[[][][][]]' '[][]'
 '[[][]][]' '[][]' '[]' '[][][][]' '[][]' '[][]' '[][][]' '[][]' '[][]'
 '[][]' '[][[][]][]' '[][]' '[][][]' '[][][]' '[][][]' '[]' '[][][]'
 '[][]' '[][][]']"," '[][]': 15, '[][][]': 12, '[]': 10, '[[][]]': 7, '[][][][]': 4, '[[][][]]': 4, '[[][][][]]': 2, '[[][]][]': 2, '[][[][]]': 1, '[[][]][][]': 1, '[][[][]][]': 1 ",59,2.925123145,7.595385265
0,3,0,6,23,"['[][][]' '[]' '[][]' '[][]' '[[][][]]' '[[][][]]' '[][]' '[][][]'
 '[][[][]]' '[][][][]' '[][]' '[]' '[][][]' '[][][]' '[[][]]' '[][]'
 '[][][]' '[[][][]]' '[[][]]' '[]' '[][]' '[][]' '[[][]][]' '[]' '[][]'
 '[][][][]' '[][]' '[]' '[][]' '[][]' '[[][]][]' '[]' '[][][][]' '[]'
 '[[][]]' '[][]' '[][][]' '[][]' '[][]' '[]' '[][]' '[[][]]' '[][]'
 '[[][]][]' '[[][]][]' '[]' '[][]' '[][]' '[]' '[]' '[][[][]]' '[[][]][]'
 '[][]' '[[][]]' '[[][]]' '[][][]' '[]' '[][]' '[][][]']"," '[][]': 20, '[]': 12, '[][][]': 8, '[[][]]': 6, '[[][]][]': 5, '[[][][]]': 3, '[][][][]': 3, '[][[][]]': 2 ",59,2.62692606,6.177084472
1,1,0,7,25,"['[][]' '[]' '[][][]' '[[][]]' '[][]' '[][[][]]' '[][][]' '[]' '[][]'
 '[][]' '[[][][]]' '[[][]]' '[][][]' '[[][]]' '[][]' '[]' '[][[][]]'
 '[][]' '[][[][]]' '[][]' '[][][]' '[[][]]' '[][][]' '[][]' '[][]' '[]'
 '[][]' '[[][]][]' '[[][]][]' '[][]' '[][]' '[[][]]' '[[][][][]]' '[][][]'
 '[]' '[][]' '[[][][][]]' '[[][]]' '[[][]][]' '[][]' '[]' '[[][][]]'
 '[][][]' '[[][]]' '[][][]' '[][]' '[][][]' '[][]' '[]' '[][][]' '[][]'
 '[[][]]' '[[][]]' '[[][][][]]' '[]' '[[][]][]' '[][][]' '[][][][][]']"," '[][]': 17, '[][][]': 11, '[[][]]': 9, '[]': 8, '[[][]][]': 4, '[][[][]]': 3, '[[][][][]]': 3, '[[][][]]': 2, '[][][][][]': 1 ",58,2.761778993,6.782320651
2,2,0,7,25,"['[][[][][][]]' '[][][]' '[][][][]' '[][]' '[[][]]' '[]' '[[][]]'
 '[[][][]]' '[][][]' '[][][][]' '[][][]' '[[][][]][]' '[][][]'
 '[[][][][]]' '[]' '[[][]]' '[[][]]' '[][]' '[][][][]' '[][]' '[][]' '[]'
 '[][][][]' '[[][][]]' '[][[][]]' '[][][][]' '[][]' '[][]' '[][]' '[][]'
 '[][][]' '[][][]' '[][][][]' '[[][][]]' '[][][]' '[][][]' '[][][]'
 '[][][]' '[][]' '[][][]' '[][]' '[][]' '[][]' '[][][][]' '[][][]' '[]'
 '[][]' '[][]' '[][][]' '[][][]' '[[][]]' '[][]' '[][]' '[[][][]]' '[]'
 '[][]' '[][]']"," '[][]': 18, '[][][]': 14, '[][][][]': 7, '[[][]]': 5, '[]': 5, '[[][][]]': 4, '[][[][][][]]': 1, '[[][][]][]': 1, '[[][][][]]': 1, '[][[][]]': 1 ",57,2.688462219,6.446259286
0,3,1,7,26,"['[][]' '[[][][]]' '[][][]' '[[][][]]' '[[][[][]]]' '[[][][][]]' '[][]'
 '[][][]' '[[][]]' '[][[][]]' '[]' '[[][]]' '[][][]' '[][]' '[][]' '[][]'
 '[]' '[]' '[]' '[][]' '[]' '[][]' '[][]' '[][][]' '[[][]]' '[[][]]'
 '[][]' '[[][][][]]' '[[][][]]' '[]' '[[][]][]' '[][]' '[][]' '[]' '[][]'
 '[][][]' '[][][]' '[][]' '[][][]' '[][]' '[[][]]' '[[][]]' '[][]' '[][]'
 '[][][]' '[[][]]' '[[][]]' '[[][]]' '[][][]' '[][][]' '[[][]][]' '[][]'
 '[[][]]' '[]' '[]' '[][]' '[[][]]']"," '[][]': 18, '[[][]]': 11, '[][][]': 10, '[]': 9, '[[][][]]': 3, '[[][][][]]': 2, '[[][]][]': 2, '[[][[][]]]': 1, '[][[][]]': 1 ",57,2.611558588,6.111635859
1,3,1,8,28,"['[][]' '[][]' '[][][]' '[][[][][]][]' '[][][]' '[][]' '[][]' '[[][]][][]'
 '[][]' '[[][]]' '[][][]' '[][][][][]' '[][]' '[[][]]' '[]' '[]' '[][]'
 '[[][][]]' '[][][]' '[[][[][]]]' '[][]' '[[][]]' '[][]' '[][]' '[[][]]'
 '[[][]]' '[]' '[[][]]' '[][]' '[][]' '[[][]]' '[][]' '[]' '[][]' '[][]'
 '[][]' '[[][]]' '[][][]' '[[][]]' '[[][]]' '[[][]]' '[[][][]]' '[[][]]'
 '[][]' '[][][]' '[[][]]' '[][]' '[[][]][]' '[][][]' '[][]' '[][[][][]]'
 '[[][]]' '[]' '[][][]' '[[][]]' '[][][]' '[][][]']"," '[][]': 19, '[[][]]': 15, '[][][]': 10, '[]': 5, '[[][][]]': 2, '[][[][][]][]': 1, '[[][]][][]': 1, '[][][][][]': 1, '[[][[][]]]': 1, '[[][]][]': 1, '[][[][][]]': 1 ",57,2.567225047,5.926683629
1,3,1,8,30,"['[][]' '[][]' '[][]' '[][]' '[][][]' '[]' '[][[][]]' '[]' '[][[][]]'
 '[][]' '[][]' '[][]' '[][]' '[][][]' '[][[][][]]' '[][]' '[][][]' '[]'
 '[][[][]]' '[][]' '[[][][]]' '[[][][]]' '[][]' '[[][]]' '[][]' '[][][]'
 '[][]' '[[][]]' '[][]' '[][]' '[][]' '[][][]' '[][[][]]' '[]' '[][][]'
 '[[][]]' '[][]' '[]' '[][][][]' '[][]' '[][]' '[[][]][]' '[][]' '[][][]'
 '[][]' '[][]' '[][]' '[]' '[[][]][]' '[][][]' '[[][]]' '[[][]]'
 '[[][][]]' '[][][]' '[][]' '[][][]' '[][]']"," '[][]': 25, '[][][]': 10, '[]': 6, '[[][]]': 5, '[][[][]]': 4, '[[][][]]': 3, '[[][]][]': 2, '[][[][][]]': 1, '[][][][]': 1 ",57,2.478679687,5.573871282
